LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value
ISL	GFCF	TOT	AGRWTH	A	2012	5.156123
ISL	GFCF	TOT	AGRWTH	A	2013	2.168222
ISL	GFCF	TOT	AGRWTH	A	2014	15.887307
ISL	GFCF	TOT	AGRWTH	A	2015	21.348942
ISL	GFCF	TOT	AGRWTH	A	2016	17.782895
ISL	GFCF	TOT	AGRWTH	A	2017	11.57554
ISL	GFCF	TOT	AGRWTH	A	2018	2.055713
IRL	GFCF	TOT	AGRWTH	A	1990	13.402017
IRL	GFCF	TOT	AGRWTH	A	1991	-6.983938
IRL	GFCF	TOT	AGRWTH	A	1992	-0.0266
IRL	GFCF	TOT	AGRWTH	A	1993	-5.083264
IRL	GFCF	TOT	AGRWTH	A	1994	11.837944
IRL	GFCF	TOT	AGRWTH	A	1995	15.790485
IRL	GFCF	TOT	AGRWTH	A	1996	16.426863
IRL	GFCF	TOT	AGRWTH	A	1997	15.805346
IRL	GFCF	TOT	AGRWTH	A	1998	13.440526
IRL	GFCF	TOT	AGRWTH	A	1999	14.074926
IRL	GFCF	TOT	AGRWTH	A	2000	5.052522
IRL	GFCF	TOT	AGRWTH	A	2001	5.821998
IRL	GFCF	TOT	AGRWTH	A	2002	5.555627
IRL	GFCF	TOT	AGRWTH	A	2003	7.975088
IRL	GFCF	TOT	AGRWTH	A	2004	9.757874
IRL	GFCF	TOT	AGRWTH	A	2005	16.837509
IRL	GFCF	TOT	AGRWTH	A	2006	7.211413
IRL	GFCF	TOT	AGRWTH	A	2007	0.030987
IRL	GFCF	TOT	AGRWTH	A	2008	-11.582045
IRL	GFCF	TOT	AGRWTH	A	2009	-16.927745
IRL	GFCF	TOT	AGRWTH	A	2010	-15.030344
IRL	GFCF	TOT	AGRWTH	A	2011	-1.090543
IRL	GFCF	TOT	AGRWTH	A	2012	17.258247
IRL	GFCF	TOT	AGRWTH	A	2013	-4.141701
IRL	GFCF	TOT	AGRWTH	A	2014	18.528254
IRL	GFCF	TOT	AGRWTH	A	2015	52.872081
IRL	GFCF	TOT	AGRWTH	A	2016	50.572226
IRL	GFCF	TOT	AGRWTH	A	2017	-6.709335
IRL	GFCF	TOT	AGRWTH	A	2018	-21.137167
ITA	GFCF	TOT	AGRWTH	A	1990	4.326683
ITA	GFCF	TOT	AGRWTH	A	1991	1.2971
ITA	GFCF	TOT	AGRWTH	A	1992	-1.437673
ITA	GFCF	TOT	AGRWTH	A	1993	-11.218334
ITA	GFCF	TOT	AGRWTH	A	1994	0.717773
ITA	GFCF	TOT	AGRWTH	A	1995	7.035405
ITA	GFCF	TOT	AGRWTH	A	1996	2.482414
ITA	GFCF	TOT	AGRWTH	A	1997	1.970845
ITA	GFCF	TOT	AGRWTH	A	1998	4.048778
ITA	GFCF	TOT	AGRWTH	A	1999	4.359941
ITA	GFCF	TOT	AGRWTH	A	2000	6.809245
ITA	GFCF	TOT	AGRWTH	A	2001	2.67252
ITA	GFCF	TOT	AGRWTH	A	2002	3.855236
ITA	GFCF	TOT	AGRWTH	A	2003	-0.62474
ITA	GFCF	TOT	AGRWTH	A	2004	1.616762
ITA	GFCF	TOT	AGRWTH	A	2005	1.550421
ITA	GFCF	TOT	AGRWTH	A	2006	2.540586
ITA	GFCF	TOT	AGRWTH	A	2007	1.522122
ITA	GFCF	TOT	AGRWTH	A	2008	-3.155483
ITA	GFCF	TOT	AGRWTH	A	2009	-9.747115
ITA	GFCF	TOT	AGRWTH	A	2010	-0.200186
ITA	GFCF	TOT	AGRWTH	A	2011	-1.432738
ITA	GFCF	TOT	AGRWTH	A	2012	-9.739771
ITA	GFCF	TOT	AGRWTH	A	2013	-6.445611
ITA	GFCF	TOT	AGRWTH	A	2014	-2.219474
ITA	GFCF	TOT	AGRWTH	A	2015	1.759932
ITA	GFCF	TOT	AGRWTH	A	2016	3.996938
ITA	GFCF	TOT	AGRWTH	A	2017	3.321349
ITA	GFCF	TOT	AGRWTH	A	2018	3.204191
JPN	GFCF	TOT	AGRWTH	A	1990	6.279843
JPN	GFCF	TOT	AGRWTH	A	1991	2.908608
JPN	GFCF	TOT	AGRWTH	A	1992	-2.532837
JPN	GFCF	TOT	AGRWTH	A	1993	-4.893137
JPN	GFCF	TOT	AGRWTH	A	1994	-2.230514
JPN	GFCF	TOT	AGRWTH	A	1995	3.491875
JPN	GFCF	TOT	AGRWTH	A	1996	6.49464
JPN	GFCF	TOT	AGRWTH	A	1997	-1.995838
JPN	GFCF	TOT	AGRWTH	A	1998	-3.985991
JPN	GFCF	TOT	AGRWTH	A	1999	-0.968039
JPN	GFCF	TOT	AGRWTH	A	2000	0.508929
JPN	GFCF	TOT	AGRWTH	A	2001	-1.706615
JPN	GFCF	TOT	AGRWTH	A	2002	-5.110898
JPN	GFCF	TOT	AGRWTH	A	2003	-0.771977
JPN	GFCF	TOT	AGRWTH	A	2004	0.109898
JPN	GFCF	TOT	AGRWTH	A	2005	3.092622
JPN	GFCF	TOT	AGRWTH	A	2006	0.380405
JPN	GFCF	TOT	AGRWTH	A	2007	-1.910569
JPN	GFCF	TOT	AGRWTH	A	2008	-3.789435
JPN	GFCF	TOT	AGRWTH	A	2009	-9.740147
JPN	GFCF	TOT	AGRWTH	A	2010	-1.593052
JPN	GFCF	TOT	AGRWTH	A	2011	1.655674
JPN	GFCF	TOT	AGRWTH	A	2012	3.543746
JPN	GFCF	TOT	AGRWTH	A	2013	4.931365
JPN	GFCF	TOT	AGRWTH	A	2014	3.054434
JPN	GFCF	TOT	AGRWTH	A	2015	1.647526
JPN	GFCF	TOT	AGRWTH	A	2016	-0.31321
JPN	GFCF	TOT	AGRWTH	A	2017	2.952621
KOR	GFCF	TOT	AGRWTH	A	1990	24.651274
KOR	GFCF	TOT	AGRWTH	A	1991	14.30465
KOR	GFCF	TOT	AGRWTH	A	1992	2.391436
KOR	GFCF	TOT	AGRWTH	A	1993	8.040024
KOR	GFCF	TOT	AGRWTH	A	1994	14.033566
KOR	GFCF	TOT	AGRWTH	A	1995	13.013411
KOR	GFCF	TOT	AGRWTH	A	1996	8.231375
KOR	GFCF	TOT	AGRWTH	A	1997	-0.75991
KOR	GFCF	TOT	AGRWTH	A	1998	-20.951386
KOR	GFCF	TOT	AGRWTH	A	1999	8.790224
KOR	GFCF	TOT	AGRWTH	A	2000	12.884238
KOR	GFCF	TOT	AGRWTH	A	2001	1.530815
KOR	GFCF	TOT	AGRWTH	A	2002	6.931264
KOR	GFCF	TOT	AGRWTH	A	2003	4.799057
KOR	GFCF	TOT	AGRWTH	A	2004	2.854418
KOR	GFCF	TOT	AGRWTH	A	2005	1.995838
KOR	GFCF	TOT	AGRWTH	A	2006	3.552556
KOR	GFCF	TOT	AGRWTH	A	2007	4.987977
KOR	GFCF	TOT	AGRWTH	A	2008	-0.850942
KOR	GFCF	TOT	AGRWTH	A	2009	0.297179
KOR	GFCF	TOT	AGRWTH	A	2010	5.516776
KOR	GFCF	TOT	AGRWTH	A	2011	0.829387
KOR	GFCF	TOT	AGRWTH	A	2012	-0.484344
KOR	GFCF	TOT	AGRWTH	A	2013	3.301908
KOR	GFCF	TOT	AGRWTH	A	2014	3.365156
KOR	GFCF	TOT	AGRWTH	A	2015	5.052922
KOR	GFCF	TOT	AGRWTH	A	2016	5.628864
KOR	GFCF	TOT	AGRWTH	A	2017	8.64032
LUX	GFCF	TOT	AGRWTH	A	1990	3.374903
LUX	GFCF	TOT	AGRWTH	A	1991	15.757994
LUX	GFCF	TOT	AGRWTH	A	1992	-15.075223
LUX	GFCF	TOT	AGRWTH	A	1993	20.591881
LUX	GFCF	TOT	AGRWTH	A	1994	0.042828
LUX	GFCF	TOT	AGRWTH	A	1995	15.670294
LUX	GFCF	TOT	AGRWTH	A	1996	-4.204546
LUX	GFCF	TOT	AGRWTH	A	1997	6.344562
LUX	GFCF	TOT	AGRWTH	A	1998	10.980383
LUX	GFCF	TOT	AGRWTH	A	1999	17.921534
LUX	GFCF	TOT	AGRWTH	A	2000	-4.280755
LUX	GFCF	TOT	AGRWTH	A	2001	6.115308
LUX	GFCF	TOT	AGRWTH	A	2002	1.606738
LUX	GFCF	TOT	AGRWTH	A	2003	0.803384
LUX	GFCF	TOT	AGRWTH	A	2004	5.967145
LUX	GFCF	TOT	AGRWTH	A	2005	-1.015306
LUX	GFCF	TOT	AGRWTH	A	2006	3.2933
LUX	GFCF	TOT	AGRWTH	A	2007	12.530699
LUX	GFCF	TOT	AGRWTH	A	2008	11.944551
LUX	GFCF	TOT	AGRWTH	A	2009	-12.448995
LUX	GFCF	TOT	AGRWTH	A	2010	3.534445
LUX	GFCF	TOT	AGRWTH	A	2011	13.693679
